masked_sentence	mask_token_str	mapping_type	learnerl1	learnerRawScore	annotationErrorType	incorrect_token	incorrect_token_idx	incorrect_token_length	incorrect_token_pos
I was [MASK] because I had alredy spoken with them and I had taken two autographs .	[MASK]	replacement_correction	Russian	21.0	S	shoked	2	6	VBN
I was shoked because I had [MASK] spoken with them and I had taken two autographs .	[MASK]	replacement_correction	Russian	21.0	S	alredy	6	6	VBN
I was shoked because I had alredy spoken with them and I had [MASK] two autographs .	[MASK]	replacement_correction	Russian	21.0	RV	taken	13	5	VBN
I am very sorry to say it was definitely not a perfect evening out , and I am therefore asking you a refund [MASK] the amount I paid , or part of it .	[MASK]	replacement_correction	French	38.0	RT	of	23	2	IN
Of course , I became aware of her feelings since a friend of mine overheard a conversation between Pat and [MASK] girl .	[MASK]	replacement_correction	Spanish	36.0	AGQ	other	20	5	JJ
Although my parents were very happy [MASK] having such an especial opportunity visiting a place with no tourists , I was a little bit scared .	[MASK]	replacement_correction	Spanish	34.00	RT	of	6	2	IN
Although my parents were very happy of having such [MASK] especial opportunity visiting a place with no tourists , I was a little bit scared .	[MASK]	replacement_correction	Spanish	34.00	FD	an	9	2	DT
Although my parents were very happy of having such an [MASK] opportunity visiting a place with no tourists , I was a little bit scared .	[MASK]	replacement_correction	Spanish	34.00	RJ	especial	10	8	JJ
She was so [MASK] and sad that she had no energry .	[MASK]	replacement_correction	Chinese	20.0	DJ	frighten	3	8	JJ
She was so frighten and sad that she had no [MASK] .	[MASK]	replacement_correction	Chinese	20.0	S	energry	10	7	NN
They are a bit far from town but they have huge [MASK] park .	[MASK]	replacement_correction	Turkish	23.0	FN	car	11	3	NN
They are a bit far from town but they have huge car [MASK] .	[MASK]	replacement_correction	Turkish	23.0	FN	park	12	4	NN
Everybody likes to be with [MASK] family without any reporter or photographer .	[MASK]	replacement_correction	Portuguese	27.00	RD	your	5	4	PRP$
which is special place in the town we [MASK] just for comerical area , but of course with all the facilities to get there like a big supermarket , and mall centre in different areas of the city .	[MASK]	replacement_correction	Spanish	20.0	S	lefet	8	5	VBP
which is special place in the town we lefet just [MASK] comerical area , but of course with all the facilities to get there like a big supermarket , and mall centre in different areas of the city .	[MASK]	replacement_correction	Spanish	20.0	RT	for	10	3	IN
